ID,Seed,t_apop,c_decay,c_dif,c_sec,t_circ,t_exp,igm,t_inc,v_inf,sigma,t_kill,speed,circ_age,foi_age,v_decay,v_dif,v_sec,Output 1,Output 2,Output 3,Output 4,Output 5,Output 6,Output 7,Output 8,Output 9,Output 10,Output 11,Output 12,Output 13,Output 14,Output 15,Output 16,Output 17,Output 18,Output 19,Output 20,Output 21,Output 22,Output 23,Output 24,Output 25,Output 26,Output 27,Output 28,Output 29,Output 30,Output 31,Output 32,Output 33,Output 34,Output 35,Output 36,Output 37,Output 38,Output 39,Output 40,Output 41,Output 42,Output 43,Output 44,Output 45,Output 46,Output 47,Output 48,Output 49,Output 50,Output 51,Output 52,Output 53,Output 54,Output 55,Output 56,Output 57,Output 58,Output 59,Output 60,Output 61,Output 62,Output 63,Output 64,Output 65,Output 66,Output 67,Output 68,Output 69,Output 70,Output 71,Output 72,Output 73,Output 74,Output 75,Output 76,Output 77,Output 78,Output 79,Output 80,Output 81,Output 82,Output 83,Output 84,Output 85,Output 86,Output 87,Output 88,Output 89,Output 90,Output 91,Output 92,Output 93,Output 94,Output 95,Output 96,Output 97
828,2,1.8498,1.5319e-05,1.7296,0.00015598,0.12735,1566.8,1.223,0.052393,22.471,2584.9,63.792,0.27679,519.86,22.389,0.35474,0.15642,0.00020862,1,3,14,57,230,667,1463,2658,4171,5963,7984,10278,12866,15685,18666,21741,24799,27771,30847,34076,37199,40401,43629,46929,50227,53532,56927,60185,63494,66743,69868,73121,76226,79465,82970,86431,89865,93259,96690,99858,1.0337e+05,1.0702e+05,1.0949e+05,1.1018e+05,1.0851e+05,1.0558e+05,1.0171e+05,96491,90179,82675,73660,63749,53857,44831,37215,30681,24483,19144,14763,11203,8266,5747,3787,2178,989,271,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,2,0.2011,0.00042092,0.047331,0.00018608,0.28254,1671.9,4.9709,0.095231,21.875,879.42,9.018,0.36153,4.0093,134.1,1.5552,0.0028021,0.00051663,1,11,51,189,401,700,1080,1537,2050,2647,3359,4155,5031,6004,7001,7954,8917,9879,10865,11843,12809,13807,14770,15748,16666,17625,18640,19744,20767,21686,22725,23703,24707,25713,26625,27617,28565,29484,30420,31289,32172,33013,33919,34719,35454,36273,37040,37781,38649,38359,34937,29985,25598,22567,21057,20304,20028,20175,20548,20694,20769,21024,21314,21726,21983,22489,22951,23492,23931,24432,24812,25295,25854,26249,25891,25380,25122,24485,23336,22247,21235,20045,18883,17886,16884,15809,14668,13449,12105,10853,9772,8917,7983,7063,6259,5489,4786
830,2,1.2905,0.0001833,0.43323,0.00017756,0.0585,1448.3,24.496,0.061243,144.87,1353.4,7.6061,0.70676,0.062634,231.32,0.0035584,0.12346,0.00033571,1,2,9,27,79,253,580,1085,1765,2656,3836,5195,6729,8447,10364,12429,14413,16467,18579,20846,23079,25188,27330,29328,31490,33651,35854,38041,40078,42092,44134,46303,48591,51009,53210,55264,57531,59839,61984,64135,66379,68534,70543,72487,74491,76809,78916,80989,83046,84013,77098,66296,56143,47651,41426,35896,31277,27173,23471,20424,17946,15668,13600,11622,9792,8270,6766,5475,4190,3017,1956,1180,693,256,58,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,2,1.4103,0.001207,8.7809,0.00020192,0.18067,1163.2,1.2881,0.079895,10.578,1534.6,19.515,1.6111,0.58805,167.53,1.0737,0.54583,0.00038653,1,8,120,1137,4164,8900,15353,23385,33386,44779,58194,72258,85759,99126,1.1301e+05,1.2739e+05,1.4126e+05,1.5498e+05,1.6711e+05,1.7417e+05,1.7188e+05,1.6255e+05,1.4763e+05,1.2842e+05,1.0597e+05,80012,54289,32637,19351,10644,4927,1368,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2,1.6063,0.00087439,0.23617,0.00019086,0.048253,1127,10.661,0.11325,157.58,2017,68.989,0.58365,38.346,295.42,0.083121,0.032817,7.8827e-05,1,1,1,2,3,5,9,13,22,32,48,70,113,171,237,343,465,620,793,998,1200,1380,1596,1765,1948,2077,2209,2373,2507,2652,2784,2911,3100,3231,3397,3537,3705,3867,3964,4113,4242,4341,4443,4513,4559,4627,4745,4834,4968,5122,4805,3951,2933,2165,1693,1398,1225,1090,1032,986,1008,1071,1063,1040,993,976,958,972,979,1019,1001,1015,1046,1085,1091,1078,1134,1255,1316,1363,1397,1457,1493,1571,1623,1665,1773,1939,2049,2246,2333,2473,2609,2835,3046,3214,3462
833,2,0.012105,0.0024309,0.20208,0.00016437,0.056476,1338.3,4.3213,0.097068,154.7,1103.2,37.222,0.47056,7.2414,128.1,16.655,0.0022715,0.0010921,1,6,26,73,118,177,233,362,513,675,862,1041,1216,1429,1651,1925,2172,2420,2654,2905,3212,3521,3794,4045,4280,4540,4773,5018,5241,5469,5620,5829,6058,6284,6446,6655,6908,7112,7338,7303,7019,6734,6399,6081,5703,5315,4964,4525,4356,4262,3620,2765,1953,1483,1137,987,982,1000,939,913,842,730,675,563,563,563,526,498,478,420,415,378,277,274,253,236,256,247,224,222,171,202,187,198,193,161,147,140,120,141,150,168,153,150,145,148,100
834,2,0.15758,0.00016932,0.66627,0.00024672,1.4636,1291.5,13.801,0.099948,163.48,1494.4,14.979,0.25555,0.82244,444.61,0.0026547,0.01342,0.00064793,1,3,13,36,111,206,347,522,763,1048,1398,1747,2132,2577,3009,3415,3806,4221,4625,5006,5472,5910,6317,6788,7301,7771,8216,8572,9005,9395,9794,10152,10514,10897,11302,11857,12326,12797,13256,13808,14350,14778,15275,15796,16254,16821,17213,17669,18043,17653,14858,10724,7199,5336,4329,3763,3651,3394,3209,3136,3123,3207,3462,3606,3768,3917,3937,3854,3996,4118,4090,4130,4422,4481,4498,4529,4653,4817,4882,5012,5053,5306,5391,5549,5607,5616,5802,5907,6061,6379,6389,6370,6643,6902,7088,7119,7225
835,2,0.47761,0.00011758,0.32258,0.00013345,0.1305,613.72,1.8623,0.063125,959.4,1402.3,5.1914,0.061467,1.1846,44.356,8.2233,0.0037171,0.00013957,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,2,0.94083,0.02028,0.032399,0.00027653,0.14806,1476.4,39.191,0.18145,8.4127,688.61,1.4201,0.014404,15.551,52.264,2.946,0.066583,0.00010679,1,1,3,6,14,33,74,167,317,528,794,1105,1505,1985,2521,3135,3789,4440,5077,5763,6466,7206,7928,8632,9385,10159,10893,11705,12548,13371,14181,14890,15656,16411,17095,17853,18598,19268,19885,19763,18962,18210,17435,16611,15723,14721,13635,12535,11338,10864,10326,9402,8293,7285,6324,5552,4892,4516,4253,4131,4018,3876,3717,3537,3528,3400,3409,3364,3339,3241,3242,3210,3272,3252,3230,3194,3174,3139,3036,3015,2965,2877,2871,2887,2945,2920,2985,3052,3062,3072,3101,3131,3183,3245,3311,3278,3316
837,2,0.77113,0.0005153,0.042926,0.00026338,0.045992,1237.8,40.014,0.12536,151.71,809.38,6.6335,0.28032,0.48035,114.52,0.70806,0.45831,0.00064857,1,3,17,112,537,1945,4433,7890,12370,17857,24889,32902,41633,50510,59423,68295,77402,86555,95595,1.0418e+05,1.1308e+05,1.2231e+05,1.3119e+05,1.3995e+05,1.4759e+05,1.4891e+05,1.4505e+05,1.3784e+05,1.2774e+05,1.1493e+05,99690,82019,62208,45149,33001,23285,15664,9445,4875,1905,321,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
